areaCode,areaName,areaType,date,cumVaccinationThirdInjectionUptakeByPublishDatePercentage
W92000004,Wales,nation,2022-03-15,72.2
W92000004,Wales,nation,2022-03-14,72.1
W92000004,Wales,nation,2022-03-13,72.1
W92000004,Wales,nation,2022-03-12,72.1
W92000004,Wales,nation,2022-03-11,72.0
W92000004,Wales,nation,2022-03-10,72.0
W92000004,Wales,nation,2022-03-09,71.9
W92000004,Wales,nation,2022-03-08,71.8
W92000004,Wales,nation,2022-03-07,71.8
W92000004,Wales,nation,2022-03-06,71.7
W92000004,Wales,nation,2022-03-05,71.7
W92000004,Wales,nation,2022-03-04,71.6
W92000004,Wales,nation,2022-03-03,71.6
W92000004,Wales,nation,2022-03-02,71.5
W92000004,Wales,nation,2022-03-01,71.5
W92000004,Wales,nation,2022-02-28,71.4
W92000004,Wales,nation,2022-02-27,71.3
W92000004,Wales,nation,2022-02-26,71.3
W92000004,Wales,nation,2022-02-25,71.2
W92000004,Wales,nation,2022-02-24,71.2
W92000004,Wales,nation,2022-02-23,71.1
W92000004,Wales,nation,2022-02-22,71.0
W92000004,Wales,nation,2022-02-21,71.0
W92000004,Wales,nation,2022-02-20,70.9
W92000004,Wales,nation,2022-02-19,70.9
W92000004,Wales,nation,2022-02-18,70.8
W92000004,Wales,nation,2022-02-17,70.8
W92000004,Wales,nation,2022-02-16,70.7
W92000004,Wales,nation,2022-02-15,70.7
W92000004,Wales,nation,2022-02-14,69.8
W92000004,Wales,nation,2022-02-13,69.7
W92000004,Wales,nation,2022-02-12,69.7
W92000004,Wales,nation,2022-02-11,69.6
W92000004,Wales,nation,2022-02-10,69.5
W92000004,Wales,nation,2022-02-09,69.4
W92000004,Wales,nation,2022-02-08,69.3
W92000004,Wales,nation,2022-02-07,69.3
W92000004,Wales,nation,2022-02-06,69.2
W92000004,Wales,nation,2022-02-05,69.1
W92000004,Wales,nation,2022-02-04,69.1
W92000004,Wales,nation,2022-02-03,69.0
W92000004,Wales,nation,2022-02-02,68.9
W92000004,Wales,nation,2022-02-01,68.8
W92000004,Wales,nation,2022-01-31,68.6
W92000004,Wales,nation,2022-01-30,68.6
W92000004,Wales,nation,2022-01-29,68.5
W92000004,Wales,nation,2022-01-28,68.4
W92000004,Wales,nation,2022-01-27,68.3
W92000004,Wales,nation,2022-01-26,68.2
W92000004,Wales,nation,2022-01-25,68.1
W92000004,Wales,nation,2022-01-24,68.0
W92000004,Wales,nation,2022-01-23,67.9
W92000004,Wales,nation,2022-01-22,67.7
W92000004,Wales,nation,2022-01-21,67.5
W92000004,Wales,nation,2022-01-20,67.4
W92000004,Wales,nation,2022-01-19,67.2
W92000004,Wales,nation,2022-01-18,67.1
W92000004,Wales,nation,2022-01-17,66.9
W92000004,Wales,nation,2022-01-16,66.7
W92000004,Wales,nation,2022-01-15,66.5
W92000004,Wales,nation,2022-01-14,66.3
W92000004,Wales,nation,2022-01-13,66.1
W92000004,Wales,nation,2022-01-12,65.8
W92000004,Wales,nation,2022-01-11,65.5
W92000004,Wales,nation,2022-01-10,65.1
W92000004,Wales,nation,2022-01-09,64.7
W92000004,Wales,nation,2022-01-08,64.3
W92000004,Wales,nation,2022-01-07,64.0
W92000004,Wales,nation,2022-01-06,63.5
W92000004,Wales,nation,2022-01-05,63.0
W92000004,Wales,nation,2022-01-04,62.5
W92000004,Wales,nation,2022-01-03,61.8
W92000004,Wales,nation,2022-01-02,61.6
W92000004,Wales,nation,2022-01-01,61.4
W92000004,Wales,nation,2021-12-31,61.4
W92000004,Wales,nation,2021-12-30,61.0
W92000004,Wales,nation,2021-12-29,59.8
W92000004,Wales,nation,2021-12-28,58.5
W92000004,Wales,nation,2021-12-27,57.3
W92000004,Wales,nation,2021-12-26,56.5
W92000004,Wales,nation,2021-12-25,56.5
W92000004,Wales,nation,2021-12-24,56.5
W92000004,Wales,nation,2021-12-23,56.0
W92000004,Wales,nation,2021-12-22,54.6
W92000004,Wales,nation,2021-12-21,52.9
W92000004,Wales,nation,2021-12-20,51.1
W92000004,Wales,nation,2021-12-19,49.4
W92000004,Wales,nation,2021-12-18,47.7
W92000004,Wales,nation,2021-12-17,46.4
W92000004,Wales,nation,2021-12-16,45.2
W92000004,Wales,nation,2021-12-15,43.9
W92000004,Wales,nation,2021-12-14,42.8
W92000004,Wales,nation,2021-12-13,41.6
W92000004,Wales,nation,2021-12-12,40.7
W92000004,Wales,nation,2021-12-11,40.0
W92000004,Wales,nation,2021-12-10,39.3
W92000004,Wales,nation,2021-12-09,38.6
W92000004,Wales,nation,2021-12-08,37.9
W92000004,Wales,nation,2021-12-07,37.1
W92000004,Wales,nation,2021-12-06,36.4
W92000004,Wales,nation,2021-12-05,35.8
W92000004,Wales,nation,2021-12-04,35.1
W92000004,Wales,nation,2021-12-03,34.6
W92000004,Wales,nation,2021-12-02,34.0
W92000004,Wales,nation,2021-12-01,33.3
W92000004,Wales,nation,2021-11-30,32.7
W92000004,Wales,nation,2021-11-29,32.1
W92000004,Wales,nation,2021-11-28,31.5
W92000004,Wales,nation,2021-11-27,31.0
W92000004,Wales,nation,2021-11-26,30.4
W92000004,Wales,nation,2021-11-25,29.9
W92000004,Wales,nation,2021-11-24,29.3
W92000004,Wales,nation,2021-11-23,28.8
W92000004,Wales,nation,2021-11-22,28.2
W92000004,Wales,nation,2021-11-21,27.8
W92000004,Wales,nation,2021-11-20,27.3
W92000004,Wales,nation,2021-11-19,26.8
W92000004,Wales,nation,2021-11-18,26.3
W92000004,Wales,nation,2021-11-17,25.6
W92000004,Wales,nation,2021-11-16,25.1
W92000004,Wales,nation,2021-11-15,24.5
W92000004,Wales,nation,2021-11-14,24.1
W92000004,Wales,nation,2021-11-13,23.7
W92000004,Wales,nation,2021-11-12,23.2
W92000004,Wales,nation,2021-11-11,22.6
W92000004,Wales,nation,2021-11-10,22.0
W92000004,Wales,nation,2021-11-09,21.3
W92000004,Wales,nation,2021-11-08,20.7
W92000004,Wales,nation,2021-11-07,20.2
W92000004,Wales,nation,2021-11-06,19.9
W92000004,Wales,nation,2021-11-05,19.4
W92000004,Wales,nation,2021-11-04,18.8
W92000004,Wales,nation,2021-11-03,18.2
W92000004,Wales,nation,2021-11-02,17.6
W92000004,Wales,nation,2021-11-01,17.0
W92000004,Wales,nation,2021-10-31,16.5
W92000004,Wales,nation,2021-10-30,16.3
W92000004,Wales,nation,2021-10-29,15.9
W92000004,Wales,nation,2021-10-28,15.4
W92000004,Wales,nation,2021-10-27,14.8
W92000004,Wales,nation,2021-10-26,14.3
W92000004,Wales,nation,2021-10-25,13.8
W92000004,Wales,nation,2021-10-24,13.0
W92000004,Wales,nation,2021-10-23,12.8
W92000004,Wales,nation,2021-10-22,12.4
W92000004,Wales,nation,2021-10-21,11.7
